rank,candidate_id,overall_score,percentile,experience_score,skill_score,career_score,behaviour_score,recruiter_score,semantic_score,explanation
1,CAND_0000001,59.76,98.0,100.0,33.33,41.67,64.77,71.67,62.12,"Candidate has 6.9y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (aws, python); missing: docker, machine learning, retrieval.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 86% complete; recently active; open to work. | Recruiter signals: partial salary overlap; work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6212, score=62.1/100)."
2,CAND_0000031,58.61,96.0,100.0,33.33,37.22,68.5,68.33,57.26,"Candidate has 6.0y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (machine learning, retrieval); missing: aws, docker, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 83% complete; recently active; open to work; average assessments (63/100). | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5726, score=57.3/100)."
3,CAND_0000027,56.82,94.0,78.0,50.0,36.67,55.98,61.67,68.2,"Candidate has 3.9y experience — 1.1y below the minimum 5.0y required. | Matched 3/6 required skills (aws, docker, retrieval); missing: machine learning, python, vector database. | Career evaluated across 2 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 31% complete; moderately active; open to work. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6820, score=68.2/100)."
4,CAND_0000032,52.74,92.0,100.0,33.33,40.37,30.87,58.33,58.74,"Candidate has 8.1y experience — within the required 5.0–9.0y range. | Matched 2/6 required skills (docker, python); missing: aws, machine learning, retrieval.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 35% complete; inactive profile. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5874, score=58.7/100)."
5,CAND_0000010,50.93,90.0,92.0,16.67,45.5,47.4,61.67,59.86,"Candidate has 4.6y experience — 0.4y below the minimum 5.0y required. | Matched 1/6 required skills (python); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 81% complete; moderately active; average assessments (68/100); low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5986, score=59.9/100)."
6,CAND_0000038,50.77,88.0,100.0,16.67,39.19,41.32,61.67,63.97,"Candidate has 6.7y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 35% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6397, score=64.0/100)."
7,CAND_0000015,50.66,86.0,100.0,16.67,36.96,40.85,61.67,68.07,"Candidate has 5.4y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 79% complete; inactive profile; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6807, score=68.1/100)."
8,CAND_0000024,49.0,84.0,100.0,16.67,35.64,38.14,68.33,51.47,"Candidate has 7.5y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 63% complete; inactive profile; average assessments (65/100); low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5147, score=51.5/100)."
9,CAND_0000048,48.92,82.0,96.5,16.67,30.75,49.67,58.33,60.22,"Candidate has 9.7y experience — 0.7y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 62% complete; moderately active; open to work. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is strong (cosine=0.6022, score=60.2/100)."
10,CAND_0000026,48.92,80.0,100.0,16.67,32.01,28.24,81.67,59.48,"Candidate has 6.8y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 80% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5948, score=59.5/100)."
11,CAND_0000043,48.74,78.0,100.0,16.67,38.83,25.57,61.67,68.0,"Candidate has 8.3y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 57% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6800, score=68.0/100)."
12,CAND_0000007,48.47,76.0,100.0,0.0,40.56,39.93,85.0,58.69,"Candidate has 5.5y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 74% complete; recently active; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (onsite); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5869, score=58.7/100)."
13,CAND_0000037,47.89,74.0,73.5,33.33,33.26,28.7,85.0,53.98,"Candidate has 14.3y experience — 5.3y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 2/6 required skills (aws, docker); missing: machine learning, python, retrieval.... | Career evaluated across 5 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 25% complete; inactive profile. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (onsite); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5398, score=54.0/100)."
14,CAND_0000044,47.75,72.0,100.0,16.67,40.67,20.55,58.33,65.33,"Candidate has 5.7y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (python); missing: aws, docker, machine learning.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 30% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is strong (cosine=0.6533, score=65.3/100)."
15,CAND_0000046,47.38,70.0,100.0,0.0,32.72,43.24,85.0,58.49,"Candidate has 7.8y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 74% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (remote); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5849, score=58.5/100)."
16,CAND_0000039,46.9,68.0,78.0,16.67,45.94,28.24,81.67,55.39,"Candidate has 3.9y experience — 1.1y below the minimum 5.0y required. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 28% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5539, score=55.4/100)."
17,CAND_0000033,46.7,66.0,100.0,0.0,33.64,45.75,78.33,52.79,"Candidate has 8.6y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 74% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5279, score=52.8/100)."
18,CAND_0000019,46.61,64.0,100.0,16.67,29.32,31.05,68.33,50.88,"Candidate has 6.5y experience — within the required 5.0–9.0y range. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 38% complete; recently active; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5088, score=50.9/100)."
19,CAND_0000025,46.6,62.0,100.0,0.0,38.89,40.13,65.0,63.05,"Candidate has 7.3y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 70% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (hybrid); 3/3 verifications passed. | Semantic similarity is strong (cosine=0.6305, score=63.0/100)."
20,CAND_0000035,46.4,60.0,86.0,16.67,39.0,26.16,71.67,61.39,"Candidate has 4.3y experience — 0.7y below the minimum 5.0y required. | Matched 1/6 required skills (docker); missing: aws, machine learning, python.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 56% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6139, score=61.4/100)."
21,CAND_0000014,45.95,58.0,100.0,0.0,40.74,38.33,61.67,58.88,"Candidate has 8.4y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 61% complete; moderately active; strong assessments (77/100); low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5888, score=58.9/100)."
22,CAND_0000020,45.35,56.0,100.0,0.0,38.0,29.17,81.67,52.1,"Candidate has 6.3y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 73% complete; inactive profile; average assessments (53/100); low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5210, score=52.1/100)."
23,CAND_0000036,45.25,54.0,88.5,0.0,39.29,49.66,68.33,54.12,"Candidate has 11.3y experience — 2.3y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 5 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 81% complete; inactive profile; open to work. | Recruiter signals: partial salary overlap; work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5412, score=54.1/100)."
24,CAND_0000016,44.77,52.0,100.0,0.0,29.61,41.77,68.33,57.45,"Candidate has 5.3y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 69% complete; inactive profile; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5745, score=57.5/100)."
25,CAND_0000018,44.7,50.0,100.0,0.0,39.11,35.13,55.0,61.1,"Candidate has 6.6y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 34% complete; inactive profile. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (onsite); 0/3 verifications passed. | Semantic similarity is strong (cosine=0.6110, score=61.1/100)."
26,CAND_0000029,44.2,48.0,100.0,0.0,39.11,28.0,71.67,50.13,"Candidate has 7.2y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 40% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5013, score=50.1/100)."
27,CAND_0000049,43.53,46.0,86.0,0.0,43.26,37.04,61.67,59.52,"Candidate has 11.8y experience — 2.8y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 64% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5952, score=59.5/100)."
28,CAND_0000042,43.52,44.0,100.0,0.0,36.45,22.84,81.67,46.33,"Candidate has 5.0y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 58% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.4633, score=46.3/100)."
29,CAND_0000023,43.33,42.0,74.0,0.0,38.22,39.75,81.67,67.59,"Candidate has 3.7y experience — 1.3y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 50% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is strong (cosine=0.6759, score=67.6/100)."
30,CAND_0000041,43.31,40.0,76.5,0.0,40.36,51.95,65.0,56.45,"Candidate has 13.7y experience — 4.7y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 5 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 75% complete; moderately active; open to work. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5645, score=56.5/100)."
31,CAND_0000006,43.31,38.0,100.0,0.0,41.22,22.85,61.67,54.67,"Candidate has 6.0y experience — within the required 5.0–9.0y range. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 29% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5467, score=54.7/100)."
32,CAND_0000005,43.06,36.0,90.0,0.0,30.75,38.97,81.67,49.0,"Candidate has 11.0y experience — 2.0y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 84% complete; inactive profile; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.4900, score=49.0/100)."
33,CAND_0000045,42.6,34.0,84.0,0.0,37.87,33.31,75.0,57.32,"Candidate has 12.2y experience — 3.2y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 7 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 25% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5732, score=57.3/100)."
34,CAND_0000030,42.15,32.0,95.0,0.0,34.6,29.17,71.67,46.85,"Candidate has 10.0y experience — 1.0y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 59% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.4685, score=46.9/100)."
35,CAND_0000021,41.91,30.0,72.5,16.67,30.84,25.14,75.0,57.99,"Candidate has 14.5y experience — 5.5y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 6 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 58% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5799, score=58.0/100)."
36,CAND_0000009,41.08,28.0,90.0,0.0,33.06,33.57,61.67,52.63,"Candidate has 11.0y experience — 2.0y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 39% complete; inactive profile. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5263, score=52.6/100)."
37,CAND_0000017,40.67,26.0,83.5,0.0,42.94,27.42,58.33,54.37,"Candidate has 12.3y experience — 3.3y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 38% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5437, score=54.4/100)."
38,CAND_0000002,40.5,24.0,82.5,0.0,32.53,36.89,65.0,54.61,"Candidate has 12.5y experience — 3.5y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 78% complete; inactive profile; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 0/3 verifications passed. | Semantic similarity is moderate (cosine=0.5461, score=54.6/100)."
39,CAND_0000050,36.97,22.0,77.5,0.0,25.81,30.21,61.67,56.14,"Candidate has 13.5y experience — 4.5y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 4 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 42% complete; inactive profile; average assessments (60/100); low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (onsite); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5614, score=56.1/100)."
40,CAND_0000008,36.35,20.0,72.0,0.0,35.64,26.65,58.33,49.92,"Candidate has 3.6y experience — 1.4y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 63% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (onsite); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.4992, score=49.9/100)."
41,CAND_0000034,36.12,18.0,72.5,0.0,38.25,20.21,61.67,47.68,"Candidate has 14.5y experience — 5.5y above the maximum 9.0y preferred. Likely over-qualified but still considered. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 7 role(s): low title alignment, limited industry overlap, stable tenure, non-linear seniority path. | Behaviour signals: profile 41% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.4768, score=47.7/100)."
42,CAND_0000004,35.91,16.0,76.0,0.0,26.66,22.62,65.0,54.81,"Candidate has 3.8y experience — 1.2y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 3 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 28% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (120d); work mode compatible (onsite); 3/3 verifications passed. | Semantic similarity is moderate (cosine=0.5481, score=54.8/100)."
43,CAND_0000011,35.56,14.0,40.0,16.67,34.11,25.99,65.0,61.7,"Candidate has 2.0y experience — 3.0y below the minimum 5.0y required. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 2 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, non-linear seniority path. | Behaviour signals: profile 59% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (hybrid); 3/3 verifications passed. | Semantic similarity is strong (cosine=0.6170, score=61.7/100)."
44,CAND_0000047,34.48,12.0,48.0,0.0,32.31,43.17,61.67,57.77,"Candidate has 2.4y experience — 2.6y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, stable tenure, positive seniority trajectory. | Behaviour signals: profile 79% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5777, score=57.8/100)."
45,CAND_0000022,33.87,10.0,22.0,16.67,37.72,42.83,58.33,55.0,"Candidate has 1.1y experience — 3.9y below the minimum 5.0y required. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 63% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5500, score=55.0/100)."
46,CAND_0000013,33.19,8.0,22.0,0.0,37.72,48.47,78.33,61.38,"Candidate has 1.1y experience — 3.9y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 44% complete; moderately active; open to work; low interview/offer completion. | Recruiter signals: partial salary overlap; notice period acceptable (30d); work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is strong (cosine=0.6138, score=61.4/100)."
47,CAND_0000012,29.99,6.0,22.0,16.67,28.97,22.33,68.33,54.47,"Candidate has 1.1y experience — 3.9y below the minimum 5.0y required. | Matched 1/6 required skills (aws); missing: docker, machine learning, python.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 53% complete; inactive profile; low interview/offer completion. | Recruiter signals: partial salary overlap; work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5447, score=54.5/100)."
48,CAND_0000040,29.47,4.0,32.0,0.0,30.31,35.47,58.33,58.54,"Candidate has 1.6y experience — 3.4y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 39% complete; inactive profile. | Recruiter signals: partial salary overlap; long notice period (90d); work mode compatible (remote); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5854, score=58.5/100)."
49,CAND_0000028,29.38,2.0,22.0,0.0,28.97,42.73,71.67,56.05,"Candidate has 1.1y experience — 3.9y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 51% complete; moderately active. | Recruiter signals: partial salary overlap; work mode compatible (remote); 2/3 verifications passed. | Semantic similarity is moderate (cosine=0.5605, score=56.0/100)."
50,CAND_0000003,25.47,0.0,22.0,0.0,28.97,26.86,58.33,54.13,"Candidate has 1.1y experience — 3.9y below the minimum 5.0y required. | Matched 0/6 required skills (); missing: aws, docker, machine learning.... | Career evaluated across 1 role(s): low title alignment, limited industry overlap, some short-tenure roles flagged, positive seniority trajectory. | Behaviour signals: profile 31% complete; moderately active; low interview/offer completion. | Recruiter signals: partial salary overlap; long notice period (150d); work mode compatible (hybrid); 1/3 verifications passed. | Semantic similarity is moderate (cosine=0.5413, score=54.1/100)."
